Id,Label,hh_size,modularity_class,hh_id,gender,role,age,degree,freq_home,freq_work,freq_school,freq_kindergarden,freq_transport,freq_leisure,freq_grandparents,freq_other,freq_betweenhh,prop_home,prop_work,prop_school,prop_kindergarden,prop_transport,prop_leisure,prop_grandparents,prop_other,diversityloc,diversityhhmember,pers_touch,tot_dur,avg_dur
977,3.49123E+11,4,13,3491228,1,child,3,27,3,0,22,1,0,0,1,0,2,0.111111,0,0.814815,0.037037,0,0,0.037037,0,0.366843,0.274348,12,125,4.62963
978,3686261,3,12,3686261,1,father,39,7,2,0,1,0,0,0,0,4,2,0.285714,0,0.142857,0,0,0,0,0.571429,0.653061,0.816327,2,17,2.428571
979,3.68626E+11,3,16,3686261,0,mother,40,9,2,5,0,0,0,0,0,2,2,0.222222,0.555556,0,0,0,0,0,0.222222,0.677249,0.691358,5,27,3
980,3.68626E+11,3,13,3686261,0,child,4,9,2,0,5,0,0,0,0,2,2,0.222222,0,0.555556,0,0,0,0,0.222222,0.677249,0.691358,6,29,3.222222
981,3825,5,2,3825,0,mother,41,13,4,4,1,0,2,1,0,4,4,0.307692,0.307692,0.076923,0,0.153846,0.076923,0,0.307692,0.901786,0.852071,6,40,3.076923
982,382500001,5,9,3825,1,father,45,17,6,0,0,0,1,6,0,5,4,0.352941,0,0,0,0.058824,0.352941,0,0.294118,0.797178,0.719723,7,49,2.882353
983,382500002,5,13,3825,1,child,11,18,7,0,12,0,1,0,0,0,4,0.388889,0,0.666667,0,0.055556,0,0,0,0.588571,0.691358,11,74,4.111111
984,382500003,5,13,3825,0,child,10,18,6,0,13,0,3,0,0,0,4,0.333333,0,0.722222,0,0.166667,0,0,0,0.637544,0.691358,9,76,4.222222
985,382500004,5,13,3825,0,child,8,16,8,0,8,0,3,0,0,3,4,0.5,0,0.5,0,0.1875,0,0,0.1875,0.798111,0.75,10,66,4.125
986,4050797,3,2,4050797,0,mother,30,9,2,7,0,0,0,0,0,0,2,0.222222,0.777778,0,0,0,0,0,0,0.395062,0.691358,2,28,3.111111
