Id,Label,timeset,touch,frequency,duration,loc_home,loc_work,loc_school,loc_kindergarden,loc_transport,loc_leisure,loc_grandparents,loc_other,loc_missing,betweenhhmembers,weight,person1,person2,household,sourcerole,targetrole,relation,modularity_class
375,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2008949600003,2008949600001,20089496,child,mother,M-C,1
376,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005751600004,20057516,20057516,child,father,F-C,1
377,,,1,1,5,1,0,0,0,0,0,0,1,0,1,1,2008695400005,2008695400004,20086954,child,child,siblings,1
378,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005661600003,2005661600001,20056616,child,mother,M-C,1
379,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006171000003,2006171000002,20061710,child,child,siblings,1
380,,,1,1,5,1,0,0,0,1,0,1,0,0,1,1,2003743000003,2003743000002,20037430,child,child,siblings,1
381,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2003501700002,20035017,20035017,child,father,F-C,1
382,,,0,1,0,1,0,0,0,0,0,0,0,0,1,0,20066423,2006642300001,20066423,father,mother,M-F,1
383,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2005793300001,2005793300003,20057933,mother,child,M-C,1
384,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005681400004,20056814,20056814,child,father,F-C,1
385,,,1,1,5,1,0,0,0,1,0,1,1,0,1,1,2003581800002,20035818,20035818,child,mother,M-C,1
386,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006023500003,20060235,20060235,child,father,F-C,1
387,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2003587700002,20035877,20035877,child,mother,M-C,1
388,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,20060489,2006048900001,20060489,father,mother,M-F,1
389,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2007273700002,20072737,20072737,child,father,F-C,1
390,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,8569908,856990800003,8569908,mother,child,M-C,1
391,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2003760200002,2003760200001,20037602,child,mother,M-C,1
392,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,20037957,2003795700001,20037957,father,child,F-C,1
393,,,0,2,4,1,0,0,0,0,0,0,0,0,1,0,27279100002,272791,272791,child,father,F-C,1
394,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,20035383,2003538300001,20035383,mother,father,M-F,1
395,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2006606700003,2006606700004,20066067,child,child,siblings,1
